game,genre,num_games
League of Legends,MOBA,193533
Dota 2,MOBA,85608
Counter-Strike: Global Offensive,FPS,54438
DayZ,Survival,38004
Heroes of the Storm,MOBA,35310
The Binding of Isaac: Rebirth,Other,29467
Gaming Talk Shows,Other,28115
World of Tanks,Other,15932
Hearthstone: Heroes of Warcraft,Other,14399
Agar.io,Other,11480
Rocket League,Other,7087
ARK: Survival Evolved,Survival,4158
SpeedRunners,Other,3367
,Other,3124
Duck Game,Other,1063
Fallout 3,Other,485
Devil May Cry 4: Special Edition,Other,231
Breaking Point,Other,161
Batman: Arkham Knight,Other,117
Reign Of Kings,Other,50
The Witcher 3: Wild Hunt,Other,45
Block N Load,Other,34
Depth,Other,27
Mortal Kombat X,Other,22
H1Z1,Other,7
Super Mario Bros.,Other,6
Grand Theft Auto V,Other,5
Music,Other,4
The Last of Us,Other,3
The Elder Scrolls V: Skyrim,Other,3
Senran Kagura: Estival Versus,Other,2
Risk of Rain,Other,2
Super Mario Bros. 3,Other,1
Choice Chamber,Other,1
The Sims 4,Other,1
Lucius,Other,1
Blackjack,Other,1
You Must Build A Boat,Other,1
Bridge Constructor Medieval,Other,1
Hektor,Other,1
Cities: Skylines,Other,1
Besiege,Other,1
