game,num_views
League of Legends,193533
Dota 2,85608
Counter-Strike: Global Offensive,54438
DayZ,38004
Heroes of the Storm,35310
The Binding of Isaac: Rebirth,29467
Gaming Talk Shows,28115
World of Tanks,15932
Hearthstone: Heroes of Warcraft,14399
Agar.io,11480
Rocket League,7087
ARK: Survival Evolved,4158
SpeedRunners,3367
,3124
Duck Game,1063
Fallout 3,485
Devil May Cry 4: Special Edition,231
Breaking Point,161
Batman: Arkham Knight,117
Reign Of Kings,50
The Witcher 3: Wild Hunt,45
Block N Load,34
Depth,27
Mortal Kombat X,22
H1Z1,7
Super Mario Bros.,6
Grand Theft Auto V,5
Music,4
The Elder Scrolls V: Skyrim,3
The Last of Us,3
Senran Kagura: Estival Versus,2
Risk of Rain,2
Lucius,1
The Sims 4,1
Choice Chamber,1
Super Mario Bros. 3,1
You Must Build A Boat,1
Blackjack,1
Bridge Constructor Medieval,1
Hektor,1
Cities: Skylines,1
Besiege,1
